egoid,alterid,mu,k,p,c,branching factor,log likelihood,AIC
17020,283503,0.308118264,0.001404342,1.831417677,0.000518244,0.910433484,18864.96795,-37721.9359
17020,412669,0.218209419,0.008285754,1.517687449,0.000434581,0.88042672,6714.795856,-13421.59171
17020,438154,0.070671167,0.005751624,1.552515282,0.000350877,0.843919189,1471.634567,-2935.269133
17020,600135,0.11447361,0.004148089,1.614501733,0.00040683,0.818175354,2057.51594,-4107.03188
17020,849273,0.200158393,0.005646446,1.589254188,0.000429259,0.923967914,11724.83649,-23441.67299
17020,877601,0.035604065,0.000355074,2.034906417,0.000470715,0.952360253,2370.990981,-4733.981963
17020,918989,2.019642779,2.42E-05,2.438410947,0.000526306,0.873537354,70358.77148,-140709.543
17183,21348,1.678212249,0.000652611,1.91917772,0.000426425,0.88925931,94492.47007,-188976.9401
17183,404273,0.065024816,0.018866853,1.356041657,0.000295446,0.956876122,6057.902071,-12107.80414
17183,670032,0.085937709,0.021122015,1.345341301,0.000340566,0.963964433,6911.450527,-13814.90105
17183,675718,0.349662477,0.007572882,1.530076181,0.00036136,0.953842341,46715.58743,-93423.17486
17183,729520,0.68547201,0.005461909,1.577934091,0.000344073,0.948535507,80337.67271,-160667.3454
17183,803809,0.433303795,0.001399444,1.814787829,0.000455219,0.907302851,31855.39954,-63702.79908
17183,808672,0.925248165,0.002501473,1.74646825,0.00057403,0.880109738,47758.29124,-95508.58248
17183,901329,0.281971124,0.019763676,1.315818884,0.000291017,0.818824467,4799.953807,-9591.907613
17183,902850,0.128980743,0.034556427,1.232873936,0.000310955,0.973121676,3993.383613,-7978.767225
17183,913295,0.133597294,0.013768084,1.415149366,0.000314794,0.942999048,10085.81637,-20163.63273
17308,11002,0.049133182,0.05148733,1.121058535,0.000253319,1.158968693,767.5007151,-1527.00143
17308,57045,0.023554284,0.036079106,1.206050806,0.000176928,1.03854609,14380.07624,-28752.15248
17308,63925,1.329722821,0.004646555,1.597232623,0.000383807,0.853231179,25495.70587,-50983.41175
17308,79395,0.03187768,0.022233044,1.32335793,0.000276966,0.972042238,3142.682221,-6277.364443
17308,206138,1.833574844,0.005306837,1.590228538,0.000370838,0.95231583,244372.5686,-488737.1372
17308,231551,0.050264375,0.026478766,1.305734319,0.000335885,0.999117235,21521.21819,-43034.43639
17308,301918,0.035243826,0.031814956,1.251653375,0.000258072,1.01117464,9554.885908,-19101.77182
17308,330385,0.213597104,0.021050219,1.354954663,0.000415722,0.94027599,13253.9721,-26499.94421
17308,336176,0.080959252,0.043476303,1.16845731,0.000318039,1.002179669,2356.921427,-4705.842855
17308,389087,0.207651999,0.017265244,1.399699346,0.000434173,0.953593437,15131.77222,-30255.54444
17308,422215,0.879188891,0.000980369,1.917904961,0.000612913,0.949411235,112824.3629,-225640.7258
17308,504863,0.01017743,0.020174314,1.367995598,0.000369666,1.00458619,97283.68104,-194559.3621
17308,787268,0.529210012,0.02110609,1.311973184,0.000340885,0.81662702,9415.247685,-18822.49537
17308,961317,0.393264405,0.003550593,1.676834442,0.000466889,0.942343574,42655.8326,-85303.66519
17470,88882,0.028453064,0.031324621,1.246691095,0.000222838,1.010766927,7243.616439,-14479.23288
17470,147965,0.00451383,0.064638316,1.098178155,0.000714799,1.340681416,146.560126,-285.120252
17470,160791,0.035066416,0.058734209,1.050615394,0.00022322,1.775901196,10.18298534,-12.36597068
17470,264076,0.053622248,0.021611537,1.327524971,0.000290739,0.950019163,2121.032858,-4234.065716
17470,423074,0.028440533,0.044716017,1.138537255,0.000202665,1.048444126,300.7026817,-593.4053635
17470,664775,0.028243213,0.040013806,1.209827838,0.000324326,1.02905793,2337.265031,-4666.530062
17522,250314,0.149251521,0.010105101,1.466770381,0.000312061,0.937178991,15715.3557,-31422.71139
17522,655623,0.133016867,0.012837367,1.435248481,0.00030836,0.995109961,155320.3699,-310632.7397
17569,44873,0.205176247,0.00631408,1.541818389,0.000363499,0.851214013,4802.669465,-9597.33893
17569,64296,0.082429404,0.01459367,1.404727282,0.000344657,0.908690233,2687.062435,-5366.124871
17569,85679,0.065104672,0.009953193,1.472872487,0.00032811,0.934753316,3686.604571,-7365.209143
17569,265243,0.02719883,0.008274847,1.521909647,0.000417118,0.920627718,1257.550918,-2507.101836
17569,352384,0.599963221,0.006373771,1.552498673,0.000359423,0.922759482,34855.35011,-69702.70021
17569,368202,0.190106566,0.000852373,1.901124775,0.000492969,0.903704325,9744.960133,-19481.92027
17569,388522,0.039448435,0.021049002,1.339303081,0.000336201,0.935792309,1456.624865,-2905.249731
17569,446587,0.051844209,0.023109383,1.3140686,0.000302543,0.937644568,1832.818645,-3657.63729
17569,472001,0.195586919,0.005838623,1.572397549,0.000431344,0.860658779,4836.033077,-9664.066154
17569,491338,0.067275068,0.011354011,1.446289599,0.000330577,0.90979777,2261.610565,-4515.22113
17569,589162,0.061588505,0.012679807,1.408617209,0.000282633,0.87475685,862.783519,-1717.567038
17569,654911,0.162967389,0.00989161,1.474347731,0.000360834,0.895784931,5499.624682,-10991.24936
17569,656389,0.053715834,0.008638578,1.478133109,0.000295098,0.880479416,1495.358252,-2982.716504
17569,738143,0.011304553,0.015769879,1.403500883,0.000510899,0.832096162,90.22563518,-172.4512704
17569,745385,0.04168714,0.002789515,1.705737149,0.000549935,0.789530455,301.2316978,-594.4633956
17569,944610,0.121778007,0.004668015,1.610583593,0.000401287,0.906278695,5474.607497,-10941.21499
17569,953713,0.39302895,0.006307945,1.545748902,0.000336193,0.908877269,18038.31415,-36068.62831
17932,228578,0.083919897,0.014334727,1.38278325,0.000245031,0.902779872,3196.383958,-6384.767916
17932,321744,0.151873455,0.037981988,1.17070569,0.000285958,0.895898886,1224.108891,-2440.217782
17932,483976,0.042153003,0.034860911,1.261549214,0.00045332,0.9983894,5765.552411,-11523.10482
17932,492794,0.408503008,0.022876154,1.302807089,0.000317846,0.865705881,10595.61276,-21183.22553
17932,682215,0.039564366,0.032222049,1.266792923,0.000502,0.916659031,625.0583406,-1242.116681
18111,43603,2.103614565,0.002701412,1.726743604,0.000490008,0.945329501,172076.3468,-344144.6936
18111,77838,0.117479077,0.013627562,1.416633965,0.00027525,0.995391147,84412.5623,-168817.1246
18111,289142,0.399797714,0.008242173,1.516810977,0.000388172,0.923718961,26215.94854,-52423.89708
18111,521278,0.142727343,0.011923514,1.449007411,0.000315248,0.991475168,82224.81178,-164441.6236
18111,873370,0.180980592,0.041246681,1.160788071,0.000232501,0.984851568,3291.320021,-6574.640043
18111,990607,1.268764059,0.012011143,1.44033169,0.000361743,0.893820034,55039.76095,-110071.5219
18222,30610,0.213022663,0.001146515,1.798744168,0.000307379,0.917109842,1425.329583,-2842.659167
18222,250736,0.119097711,0.002278428,1.700347715,0.000377823,0.811727328,1070.715499,-2133.430998
18222,303955,0.007602826,0.005655333,1.521569796,0.000228825,0.858852243,149.356685,-290.71337
18222,399449,0.033513559,0.004856469,1.583665677,0.000325002,0.90375085,823.5977032,-1639.195406
18222,413170,0.074856796,0.002217043,1.715311038,0.000357095,0.905963271,2132.47228,-4256.944561
18222,523218,0.086631651,0.0057901,1.54680072,0.000268577,0.949390095,3532.21645,-7056.432899
18611,650614,0.160596471,0.01554849,1.370662012,0.000235513,0.927825306,11662.47606,-23316.95212
18611,768493,0.305024537,0.013560794,1.410111507,0.000275628,0.953339007,39290.69157,-78573.38314
18677,427592,3.184131092,0.00027266,2.08499232,0.000549831,0.865007868,81374.78678,-162741.5736
18677,470963,0.191797025,0.033445775,1.238716829,0.000236746,1.027964659,20083.54318,-40159.08636
18677,621634,0.849118292,0.020519057,1.327042243,0.00023552,0.96394807,32783.12712,-65558.25423
18677,752219,0.43071809,0.005956613,1.543473852,0.000349743,0.828328741,5943.674622,-11879.34924
18677,815573,0.523021497,0.012489724,1.412904526,0.000301822,0.859469057,8604.36044,-17200.72088
18707,82964,0.215725746,0.007313331,1.549519959,0.000567033,0.809261684,1458.618782,-2909.237564
18707,92566,0.022574414,0.014626913,1.318886029,0.000245797,0.649399748,-2.675299302,13.3505986
18707,335348,0.247323516,0.002213002,1.744305408,0.000473878,0.886236925,4336.511829,-8665.023657
18707,398230,1.061976099,0.012369293,1.42976146,0.000359513,0.869637893,16391.71667,-32775.43335
18707,419559,0.206208259,0.000671869,2.035556909,0.00090852,0.91606882,3774.488952,-7540.977905
18707,578496,0.689337477,0.004000241,1.620002236,0.000467441,0.748979172,4158.061594,-8308.123188
18707,607166,0.17435697,0.004939933,1.595999038,0.000373971,0.914241839,3463.640935,-6919.28187
18707,897639,0.103035883,0.027863468,1.288226489,0.000654651,0.799855658,191.4267774,-374.8535548
19122,23042,0.455539145,0.01209515,1.519595504,0.000852241,0.915823336,17467.71495,-34927.42991
19122,285105,0.154784228,0.01204858,1.664880735,0.002613079,0.945099786,9771.074254,-19534.14851
19122,318526,0.150692675,0.028853353,1.317114673,0.000684816,0.91720407,4108.486209,-8208.972418
19122,384469,0.290526428,0.006638466,1.617312548,0.000874169,0.830910256,4695.510157,-9383.020313
19122,587961,0.608510474,0.004180812,1.724464908,0.001027125,0.843756946,15293.00739,-30578.01478
19122,641567,0.338500187,0.016554561,1.471269675,0.000995415,0.912846623,13232.34798,-26456.69597
19245,66800,0.056202365,0.04470228,1.155359273,0.000203756,1.077472871,5203.246814,-10398.49363
19245,205699,0.13314977,0.035822651,1.201446123,0.000238136,0.954714541,2157.890574,-4307.781147
19245,300994,0.055615921,0.04902564,1.113928333,0.000125494,1.19748223,2087.694986,-4167.389972
19245,409360,0.049151245,0.046349346,1.129362615,0.000130206,1.139872245,3303.518105,-6599.036211
19245,429834,0.241059992,0.018526113,1.335963323,0.000344221,0.803503645,3861.146678,-7714.293355
19245,442825,0.019818221,0.045662749,1.140656268,0.000165528,1.104694923,2004.655841,-4001.311682
19245,695155,0.18541046,0.034503383,1.203400093,0.000169306,0.992199754,12453.31301,-24898.62602
19245,767223,0.102038937,0.023379885,1.266740239,0.000212612,0.836245971,816.2508591,-1624.501718
19245,779046,0.093354768,0.008171086,1.550353731,0.000481477,0.994019036,46450.78499,-92893.56999
